鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
楊梅區,房地(土地+建物)+車位,桃園市楊梅區裕成南路361~390號,12.07,,山坡地保育區,丙種建築用地,1050526,土地2建物2車位1,七層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861224,60.93,1,1,1,有,有,1550000,25439,坡道平面,0.0,0,,RPPNMLOKPHLFFDH48CA
楊梅區,房地(土地+建物),桃園市楊梅區楊湖路一段773巷70弄80衖1~30號,106.91,,山坡地保育區,丙種建築用地,1050529,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0970221,189.46,4,2,3,有,有,6700000,35364,,0.0,0,,RPSNMLOKPHLFFDH78CA
楊梅區,土地,富岡段1951~1980地號,956.67,,特定農業區,農牧用地,980410,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1333000,1393,,0.0,0,急買急賣、親友關係間之交易。,RPWNMLOKPHLFFDH56CA
楊梅區,房地(土地+建物),桃園市楊梅區楊湖路四段208巷1~30號,129.46,,特定農業區,甲種建築用地,1050615,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1031105,238.3,4,2,5,有,有,11000000,46160,,0.0,0,,RPPNMLNLPHLFFDH48CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金山街275巷31~60號,17.1,住,,,1050622,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040925,126.65,2,2,1,有,有,4910000,40607,坡道平面,29.13,950000,,RPPOMLPLPHLFFDH78CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金山街275巷31~60號,15.55,住,,,1050622,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040925,114.22,2,1,1,有,有,4700000,43483,坡道平面,29.13,1000000,,RPQOMLPLPHLFFDH88CA
新屋區,土地,崁頭厝段下庄子小段361~390地號,484.78,,鄉村區,乙種建築用地,1050426,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11800000,24341,,0.0,0,上有未保存建物一併移轉,RPQPMLPLPHLFFDH98CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區民富路一段366巷36弄1~30號,34.69,,特定農業區,甲種建築用地,1050601,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850824,136.05,3,2,2,有,無,1800000,13230,坡道平面,37.41,0,,RPQOMLQLPHLFFDH98CA
新屋區,土地,笨子港段笨子港小段271~300地號,203.0,,一般農業區,甲種建築用地,1050609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1412430,6958,,0.0,0,,RPTNMLRLPHLFFDH66CA
大園區,土地,雙溪口段溪洲子小段511~540地號,1862.0,,特定農業區,農牧用地,1050526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6200000,3330,,0.0,0,,RPRNMLOJPHLFFEH68CA
蘆竹區,房地(土地+建物),桃園市蘆竹區奉化路121~150號,11.68,住,,,1050530,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931210,74.58,2,1,1,有,有,5000000,67042,,0.0,0,,RPVPMLOJPHLFFEH66CA
