鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
仁愛區,房地(土地+建物),基隆市仁愛區獅球路31巷24弄1~30號,51.0,住,,,1050608,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0481201,30.96,4,2,1,有,無,1000000,32300,,0.0,0,含增建或未登記建物。,RPXNMLMKPHLFFBC38CA
信義區,房地(土地+建物),基隆市信義區深溪路55巷1~30號,25.47,住,,,1050523,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,106.69,2,2,2,有,有,4300000,40304,,0.0,0,,RPPNMLQJPHLFFBC87CA
中正區,房地(土地+建物),基隆市中正區觀海街91~120號,24.57,住,,,1050530,土地1建物1車位0,一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,130.81,4,2,2,有,有,5000000,38223,,0.0,0,,RPVNMLQJPHLFFBC48CA
信義區,土地,光明段481~510地號,117.92,住,,,1050106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3930000,33328,,0.0,0,,RPWNMLQJPHLFFBC58CA
中正區,房地(土地+建物),基隆市中正區新豐街303巷21弄1~30號,31.86,住,,,1050614,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,106.28,3,2,2,有,有,3950000,37166,,0.0,0,,RPWNMLLKPHLFFBC18CA
信義區,房地(土地+建物),基隆市信義區東信路211~240號,84.0,商,,,1050609,土地2建物2車位0,全,二層,透天厝,,,,138.3,2,2,2,有,無,14320000,103543,,0.0,0,"可當店面,有增建",RPUNMLNKPHLFFBC18CA
七堵區,房地(土地+建物),基隆市七堵區福一街121~150號,37.6,住,,,1050603,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701218,120.51,4,2,2,有,無,5750000,47714,,0.0,0,,RPSNMLLKPHLFFCC87CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東勢街26巷61~90號,44.8,住,,,1050614,土地1建物2車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790818,157.73999999999998,3,2,2,有,無,4580000,29035,坡道平面,0.0,0,,RPSPMLSKPHLFFCC78CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路211~240號,15.56,住,,,1050328,土地3建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,136.93,3,2,2,有,有,10000000,73030,坡道平面,13.47,0,,RPRNMLKLPHLFFCC77CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街190巷1~30號,33.5,住,,,1050615,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730127,88.41,3,2,2,有,無,2360000,26694,,0.0,0,,RPPOMLKLPHLFFCC67CA
安樂區,房地(土地+建物),基隆市安樂區麥金路211~240號,10.47,住,,,1050425,土地3建物1車位0,五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,107.72999999999999,3,1,2,有,有,6800000,63121,,0.0,0,,RPQOMLOJQHLFFCC08CA
安樂區,房地(土地+建物),基隆市安樂區麥金路211~240號,6.83,住,,,1050425,土地3建物1車位0,十層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,70.29,2,1,1,有,有,4500000,64020,,0.0,0,,RPSOMLOJQHLFFCC28CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路211~240號,15.76,住,,,1050524,土地3建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,141.39000000000001,3,2,2,有,有,8600000,60548,坡道平面,15.87,1000000,,RPWOMLTLPHLFFCC66CA
安樂區,房地(土地+建物),基隆市安樂區麥金路361~390號,7.13,住,,,1050524,土地3建物1車位0,十三層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,73.31,2,1,1,有,有,4500000,61383,,0.0,0,,RPXOMLTLPHLFFCC76CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路241~270號,10.39,住,,,1050425,土地3建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,86.16,2,1,1,有,有,5300000,61513,坡道平面,15.87,0,,RPPOMLLJQHLFFCC67CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路361~390號,16.78,住,,,1050519,土地3建物1車位1,四層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,149.47,3,2,2,有,有,10680000,71452,坡道平面,13.47,0,,RPQOMLLJQHLFFCC77CA
