編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPOMLTLPHLFFAU57CA,民孝段,242.00,都市：住
RPXOMLNJQHLFFAU67CA,仁義段,37.70,都市：商
RPOPMLNJQHLFFAU86CA,仁義段,37.70,都市：商
RPXOMLLJQHLFFAU47CA,佳民段,194.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLLJQHLFFAU66CA,仁義段,37.70,都市：商
RPQOMLSKPHLFFAU47CA,格督尚段,2638.76,非都市：一般農業區 ; 非都市編定：農牧用地
RPPPMLSKPHLFFAU47CA,主權段,8.49,都市：住
RPPPMLSKPHLFFAU47CA,德安段,.08,都市：住
RPUOMLKLPHLFFAU17CA,自強段,103.00,都市：住
RPRNMLTKPHLFFAU57CA,光學段,687.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLTKPHLFFAU87CA,德安段,17.08,都市：住
